frame,a,b,ball,ball_possession
667,,[      527.3      351.47],,
668,,[      527.6      352.35],,
669,,[     520.07       351.6],,
670,,[      479.7      349.56],,
671,,[     525.13       352.4],,
672,,[     527.15      352.36],,
673,,[     479.47      351.39],,
674,,[     530.52       352.3],,
675,,[     529.17      352.32],,
676,,[      525.8      352.38],,
677,,[     480.19      353.19],,
678,,[     480.19      353.19],,
679,,[     480.42      353.19],,
680,,[     480.66      353.19],,
681,,[     480.42      353.19],,
682,,[     527.15      352.36],,
683,,[     480.19      353.19],,
684,[     479.71      351.38],,,
685,,[     480.19      353.19],,
686,,[     480.42      353.19],,
687,,[     526.93      352.36],,
688,,[     480.18      351.37],,
689,,[     480.66      353.19],,
690,,[     532.98      352.26],,
691,,[     533.65      352.25],,
692,,[     479.83      352.29],,
693,,[     480.66      353.19],,
694,,[     480.19      353.19],,
695,,[     532.98      352.26],,
696,,[     480.66      353.19],,
697,,[     481.13      353.18],,
698,,[      523.1      352.43],,
699,,[     480.18      351.37],,
700,,[     479.48      353.21],,
701,,[     479.72       353.2],,
702,,[     524.22      352.41],,
703,,[     479.95       353.2],,
704,,[     528.05      352.34],,
705,,[     480.19      353.19],,
706,,[     479.95       353.2],,
707,,[     480.66      353.19],,
708,,[     480.54      352.28],,
709,,[     527.83      352.35],,
710,,[     479.24      353.21],,
711,,[     480.42      353.19],,
712,,[     479.71      351.38],,
713,,[     480.19      353.19],,
714,,[     480.89      353.18],,
715,,[     479.83      352.29],,
716,,[     479.47      351.39],,
717,,[     479.59       352.3],,
718,,[     480.42      353.19],,
719,,[     480.89      353.18],,
720,,[      480.3      352.28],,
721,,[     479.95       353.2],,
722,,[     479.59       352.3],,
723,,[     480.19      353.19],,
724,,[     479.48      353.21],,
725,,[     480.19      353.19],,
726,,[     480.19      353.19],,
727,,[     479.95       353.2],,
728,,[     480.42      353.19],,
729,,[     479.95       353.2],,
730,,[     479.83      352.29],,
731,,[     479.71      351.38],,
732,,[     480.66      353.19],,
733,,[      480.3      352.28],,
734,,[     479.59       352.3],,
735,,[     532.98      352.26],,
736,,[     527.38      352.36],,
737,,[     479.48      353.21],,
738,,[     480.66      353.19],,
739,,[     480.42      353.19],,
740,,[     480.89      353.18],,
741,,[     480.66      353.19],,
742,,[     480.06      352.29],,
743,,[     480.66      353.19],,
744,,[     479.95       353.2],,
745,,[      480.3      352.28],,
746,,[      524.9       352.4],,
747,,[     479.72       353.2],,
748,,[     532.54      352.27],,
749,,[     532.31      352.27],,
750,,[     530.52       352.3],,
751,,[     479.72       353.2],,
752,,[     529.85      352.31],,
753,,[     479.95       353.2],,
754,,[     480.06      352.29],,
755,,[     526.03      352.38],,
756,,[     525.35      352.39],,
757,,[     528.28      352.34],,
758,,[     480.54      352.28],,
759,,[     479.59       352.3],,
760,,[     480.18      351.37],,
761,,[     532.98      352.26],,
762,,[     480.06      352.29],,
763,,[     528.95      352.33],,
764,,[     531.19      352.29],,
765,,[     479.83      352.29],,
766,,[     479.83      352.29],,
767,,[     479.47      351.39],,
768,,[     532.98      352.26],,
769,,[     479.47      351.39],,
770,,[     480.66      353.19],,
771,,[     479.95       353.2],,
772,,[     527.38      352.36],,
773,,[     533.21      352.25],,
774,,[     530.97      352.29],,
775,,[     529.17      352.32],,
776,,[     533.21      352.25],,
777,,[     479.72       353.2],,
778,,[     480.54      352.28],,
779,,[     479.36       352.3],,
780,,[     479.47      351.39],,
781,,[      530.3       352.3],,
782,,[     479.94      351.38],,
783,,[     529.17      352.32],,
784,,[     480.19      353.19],,
785,,[     480.66      353.19],,
786,,[     481.13      353.18],,
787,,[     479.72       353.2],,
788,,[     525.58      352.39],,
789,,[     480.42      353.19],,
790,,[     479.48      353.21],,
791,,[      529.4      352.32],,
792,,[      526.7      352.37],,
793,,[      530.3       352.3],,
794,,[     532.98      352.26],,
795,,[     479.59       352.3],,
796,,[     480.89      353.18],,
797,,[     480.66      353.19],,
798,,[     480.89      353.18],,
799,,[     480.66      353.19],,
800,,[     479.95       353.2],,
801,,[     480.66      353.19],,
802,,[     479.59       352.3],,
803,,[     480.42      353.19],,
804,,[     480.89      353.18],,
805,,[     479.83      352.29],,
806,,[     480.66      353.19],,
807,,[     479.94      351.38],,
808,,[     479.72       353.2],,
809,,[     480.66      353.19],,
810,,[     480.66      353.19],,
811,,[     480.66      353.19],,
812,,[     532.76      352.26],,
813,,[     480.19      353.19],,
814,,[     480.42      353.19],,
815,,[     479.59       352.3],,
816,,[     480.66      353.19],,
817,,[     480.42      353.19],,
818,,[     479.59       352.3],,
819,,[     479.59       352.3],,
820,,[     479.59       352.3],,
821,,[     480.19      353.19],,
822,,[     481.36      353.17],,
823,,[     479.95       353.2],,
824,,[     480.89      353.18],,
825,,[     532.76      352.26],,
826,,[     479.95       353.2],,
827,,[     480.42      353.19],,
828,,[     480.77      352.27],,
829,,[     480.19      353.19],,
830,,[     480.06      352.29],,
831,,[     480.18      351.37],,
832,,[     532.98      352.26],,
833,,[     481.13      353.18],,
834,,[     528.28      352.34],,
835,,[     479.48      353.21],,
836,,[     530.52       352.3],,
837,,[     529.85      352.31],,
838,,[     531.19      352.29],,
839,,[     480.06      352.29],,
840,[     479.72       353.2],,,
841,,[     528.28      352.34],,
842,,[     480.89      353.18],,
843,,[     532.31      352.27],,
844,,[     529.62      352.32],,
845,,[     479.48      353.21],,
846,,[     532.76      352.26],,
847,,[     532.98      352.26],,
848,,[     479.71      351.38],,
849,,[     480.89      353.18],,
850,,[     532.98      352.26],,
851,,[     532.76      352.26],,
852,,[     532.76      352.26],,
853,,[     480.18      351.37],,
854,,[     533.65      352.25],,
855,,[     479.83      352.29],,
856,,[     533.21      352.25],,
857,,[     532.98      352.26],,
858,,[     530.52       352.3],,
859,,[     480.19      353.19],,
860,,[     532.09      352.27],,
861,,,,
862,,[     533.21      352.25],,
863,,[     533.21      352.25],,
864,,[     479.95       353.2],,
865,,[     480.19      353.19],,
866,,[     532.09      352.27],,
867,,[     480.89      353.18],,
868,,[     479.72       353.2],,
869,,[     480.66      353.19],,
870,,[     479.95       353.2],,
871,,[     479.83      352.29],,
