frame,a,b,ball,ball_possession
210,,[     534.73      381.31],[     611.48      186.38],
211,,[     534.73      381.31],[     611.48      186.38],
212,,[     534.67      380.48],[     611.48      186.38],
213,,[     534.73      381.31],[     611.48      186.38],
214,,[     534.67      380.48],[     611.48      186.38],
215,,[     534.67      380.48],[     611.48      186.38],
216,,[     534.67      380.48],[     611.48      186.38],
217,,[     534.73      381.31],[     611.48      186.38],
218,,[     534.67      380.48],[     611.48      186.38],
219,,[     534.67      380.48],[     611.48      186.38],
220,,[     534.67      380.48],[     611.48      186.38],
221,,[     534.46      380.49],[     611.48      186.38],
222,,[     534.52      381.31],[     611.48      186.38],
223,,[     534.52      381.31],[     611.48      186.38],
224,,[     534.34      384.62],[     611.48      186.38],
225,,[     534.59      387.88],[     611.48      186.38],
226,,[      534.5      389.52],[     611.48      186.38],
227,,[     534.57      395.97],[     611.48      186.38],
228,,[     534.57      395.97],[     611.48      186.38],
229,,[     534.57      395.97],[     611.48      186.38],
230,,[      534.6      399.16],[     611.24      186.36],
231,,[     534.61      404.68],[     611.24      186.36],
232,,[     534.43      407.82],[     611.24      186.36],
233,,[     534.85      413.22],[     611.48      186.38],
234,,[     534.79      412.45],[     611.24      186.36],
235,,[     534.79      412.45],[     611.24      186.36],
236,,[     533.93       414.8],[     611.48      186.38],
237,,[     533.73      414.81],[     611.48      186.38],
238,,[     532.96      415.61],[     611.48      186.38],
239,,[     531.91      415.66],[     611.48      186.38],
240,,[     531.91      415.66],[     611.48      186.38],
241,,[     531.91      415.66],[     611.48      186.38],
242,,[        531      417.24],[     611.48      186.38],
243,,[     530.17      417.28],[     611.48      186.38],
244,,[     530.38      417.27],[     611.48      186.38],
245,,[      529.4      418.08],[     611.48      186.38],
246,,[     528.97      420.39],[     611.48      186.38],
247,,[     528.97      420.39],[     611.48      186.38],
248,,[     528.67      424.18],[     611.48      186.38],
249,,[     528.65      428.67],[     611.48      186.38],
250,,[     529.04      433.09],[     611.48      186.38],
251,,[     529.61      439.63],[     611.48      186.38],
252,,[     529.49      438.18],[     611.48      186.38],
253,,[     529.63      437.45],[     611.48      186.38],
254,,[      530.7      447.45],[     611.48      186.38],
255,,[     530.95      450.26],[     611.48      186.38],
256,,[     531.01      450.96],[     611.48      186.38],
257,,[     531.06      453.77],[     611.48      186.38],
258,,[      530.8      453.08],[     611.48      186.38],
259,,[      530.8      453.08],[     611.48      186.38],
260,,[     530.53       452.4],[     611.48      186.38],
261,,[      530.4      453.11],[     611.48      186.38],
262,,[     530.66      453.79],[     611.48      186.38],
263,,[     529.74      452.46],[     611.48      186.38],
264,,[     529.74      452.46],[     611.48      186.38],
265,,[     529.74      452.46],[     611.48      186.38],
266,,[     529.72      454.56],[     611.48      186.38],
267,,[     529.82       460.1],[     611.48      186.38],
268,,[     530.11      465.55],[     611.48      186.38],
269,,[     530.98      470.88],[     611.48      186.38],
270,,[     530.94      476.87],[     611.48      186.38],
271,,[     530.94      476.87],[     611.48      186.38],
272,,[     530.82      475.56],[     611.48      186.38],
273,,[     530.92      478.84],[     611.24      186.36],
274,,[     530.96      481.46],[     611.48      186.38],
275,,[     530.96      481.46],[     611.24      186.36],
276,,[     531.26      491.09],[     611.24      186.36],
277,,[     531.26      491.09],[     611.24      186.36],
278,,[     532.59      509.59],[     611.48      186.38],
279,,[     532.38      511.42],[     611.48      186.38],
280,,[     532.14      510.84],[     611.24      186.36],
281,,[     531.74      514.48],[     611.48      186.38],
282,,[     531.66      515.69],[     611.48      186.38],
